Date	Product	Sales Amount	Quantity Sold
2023-03-20	Economics	180	4
2023-06-11	Economics	199	10
2023-12-18	Electronics	456	1
2023-07-05	Clothing	321	6
2023-07-17	Clothing	297	6
2023-04-09	Electronics	118	2
2023-07-08	Tools	230	7
2023-02-12	Economics	118	10
2023-02-24	Electronics	125	2
2023-01-13	Clothing	277	6
2023-03-24	Tools	175	5
2023-05-24	Electronics	122	5
2023-08-22	Tools	254	8
2023-10-13	Clothing	360	9
2023-03-18	Electronics	278	7
2023-07-14	Economics	422	1
2023-02-27	Electronics	316	6
2023-02-25	Economics	471	3
2023-07-08	Edibles	390	9
2023-03-06	Edibles	265	5
2023-02-14	Economics	279	8
2023-02-08	Tools	100	6
2023-05-24	Electronics	478	2
2023-12-01	Edibles	453	6
2023-12-19	Edibles	152	8
2023-02-20	Electronics	110	8
2023-05-23	Economics	442	1
2023-04-23	Clothing	454	5
2023-09-03	Economics	279	10
2023-08-11	Edibles	87	1
2023-08-12	Economics	253	5
2023-06-06	Edibles	125	6
2023-10-21	Clothing	83	6
2023-06-04	Electronics	404	1
2023-02-02	Clothing	403	5
2023-10-13	Edibles	107	10
2023-11-11	Clothing	114	4
2023-01-23	Economics	358	2
2023-08-10	Clothing	65	5
2023-06-28	Tools	441	7
2023-05-13	Economics	288	10
2023-09-10	Electronics	409	8
2023-02-20	Electronics	163	1
2023-03-27	Electronics	266	10
2023-01-16	Edibles	112	2
2023-06-27	Economics	102	9
2023-01-21	Clothing	368	10
2023-08-24	Edibles	290	8
2023-10-10	Electronics	313	2
2023-12-06	Edibles	177	7
2023-07-20	Edibles	73	6
2023-04-03	Economics	457	6
2023-07-12	Clothing	64	4
2023-01-09	Clothing	354	8
2023-11-16	Tools	156	8
2023-10-17	Economics	115	9
2023-06-26	Clothing	296	2
2023-02-17	Edibles	63	1
2023-04-19	Clothing	106	6
2023-11-10	Tools	340	4
2023-07-14	Electronics	87	4
2023-05-17	Clothing	120	2
2023-03-28	Economics	77	8
2023-03-11	Economics	396	4
2023-07-15	Clothing	121	2
2023-10-11	Economics	195	3
2023-07-11	Edibles	203	2
2023-05-15	Economics	398	5
2023-05-09	Edibles	393	5
2023-06-13	Clothing	245	5
2023-01-08	Economics	167	4
